#gene_id	cnt
ENSMUSG00000000889	0.0
ENSMUSG00000001415	348.581
ENSMUSG00000001416	1010.989
ENSMUSG00000001418	701.172
ENSMUSG00000001420	45.692
ENSMUSG00000001962	0.0
ENSMUSG00000001964	0.0
ENSMUSG00000002006	0.0
ENSMUSG00000002007	0.0
ENSMUSG00000002010	0.0
ENSMUSG00000002012	0.0
ENSMUSG00000002014	0.0
ENSMUSG00000002015	0.0
ENSMUSG00000004221	0.153
ENSMUSG00000008601	7.901
ENSMUSG00000008604	323.55
ENSMUSG00000008682	0.0
ENSMUSG00000009214	0.0
ENSMUSG00000009216	0.721
ENSMUSG00000009614	6711.876
ENSMUSG00000009621	233.677
ENSMUSG00000009995	0.0
ENSMUSG00000010538	124.767
ENSMUSG00000014852	46.691
ENSMUSG00000014867	1900.518
ENSMUSG00000014873	178.188
ENSMUSG00000015289	1.11
ENSMUSG00000015290	0.0
ENSMUSG00000015291	1.275
ENSMUSG00000015488	270.563
ENSMUSG00000015776	210.142
ENSMUSG00000015787	0.0
ENSMUSG00000015790	902.233
ENSMUSG00000019087	0.0
ENSMUSG00000019088	0.0
ENSMUSG00000019558	0.789
ENSMUSG00000026028	325.392
ENSMUSG00000026029	332.983
ENSMUSG00000026031	596.835
ENSMUSG00000026032	1238.467
ENSMUSG00000026034	559.685
ENSMUSG00000026035	126.951
ENSMUSG00000026036	176.622
ENSMUSG00000026037	57.232
ENSMUSG00000026039	0.0
ENSMUSG00000026917	8.126
ENSMUSG00000026918	214.443
ENSMUSG00000026919	0.0
ENSMUSG00000028049	0.0
ENSMUSG00000028051	0.0
ENSMUSG00000028053	30.382
ENSMUSG00000028057	137.514
ENSMUSG00000028059	26.363
ENSMUSG00000028060	357.306
ENSMUSG00000028062	1196.104
ENSMUSG00000028063	200.488
ENSMUSG00000028064	1029.589
ENSMUSG00000028066	152.803
ENSMUSG00000031328	0.0
ENSMUSG00000031378	0.936
ENSMUSG00000031385	0.0
ENSMUSG00000031386	0.0
ENSMUSG00000031387	0.0
ENSMUSG00000031388	0.0
ENSMUSG00000031389	0.0
ENSMUSG00000031390	0.0
ENSMUSG00000031391	1.853
ENSMUSG00000031392	1.148
ENSMUSG00000031393	0.0
ENSMUSG00000031394	0.0
ENSMUSG00000031397	0.0
ENSMUSG00000031398	0.0
ENSMUSG00000031399	0.0
ENSMUSG00000031400	0.0
ENSMUSG00000032657	0.0
ENSMUSG00000032806	0.0
ENSMUSG00000036040	108.887
ENSMUSG00000036067	0.0
ENSMUSG00000036160	134.435
ENSMUSG00000038174	86.372
ENSMUSG00000038242	0.0
ENSMUSG00000041237	0.0
ENSMUSG00000041263	0.0
ENSMUSG00000041355	1373.605
ENSMUSG00000041423	1.607
ENSMUSG00000043715	0.0
ENSMUSG00000047528	3.867
ENSMUSG00000049741	0.0
ENSMUSG00000049897	10.67
ENSMUSG00000050144	471.402
ENSMUSG00000051223	756.916
ENSMUSG00000051706	0.0
ENSMUSG00000052406	367.468
ENSMUSG00000053211	0.0
ENSMUSG00000054199	94.96
ENSMUSG00000054770	0.0
ENSMUSG00000056673	87.47
ENSMUSG00000059647	102.892
ENSMUSG00000059743	0.0
ENSMUSG00000062564	0.0
ENSMUSG00000062647	7198.707
ENSMUSG00000063558	674.634
ENSMUSG00000064294	4941.99
ENSMUSG00000064336	0.0
ENSMUSG00000064337	0.0
ENSMUSG00000064338	0.0
ENSMUSG00000064339	0.0
ENSMUSG00000064340	0.0
ENSMUSG00000064341	0.0
ENSMUSG00000064342	0.0
ENSMUSG00000064343	0.0
ENSMUSG00000064344	0.0
ENSMUSG00000064345	0.0
ENSMUSG00000064346	0.0
ENSMUSG00000064347	0.0
ENSMUSG00000064348	0.0
ENSMUSG00000064349	0.0
ENSMUSG00000064350	0.0
ENSMUSG00000064351	0.0
ENSMUSG00000064352	0.0
ENSMUSG00000064353	0.0
ENSMUSG00000064354	0.0
ENSMUSG00000064355	0.0
ENSMUSG00000064356	0.0
ENSMUSG00000064357	0.0
ENSMUSG00000064358	0.0
ENSMUSG00000064359	0.0
ENSMUSG00000064360	0.0
ENSMUSG00000064361	0.0
ENSMUSG00000064363	0.0
ENSMUSG00000064364	0.0
ENSMUSG00000064365	0.0
ENSMUSG00000064366	0.0
ENSMUSG00000064367	0.0
ENSMUSG00000064368	0.0
ENSMUSG00000064369	0.0
ENSMUSG00000064370	0.0
ENSMUSG00000064371	0.0
ENSMUSG00000064372	0.0
ENSMUSG00000064536	0.0
ENSMUSG00000064738	0.0
ENSMUSG00000064829	0.0
ENSMUSG00000064981	0.0
ENSMUSG00000065236	0.0
ENSMUSG00000065258	27.778
ENSMUSG00000065291	0.0
ENSMUSG00000065295	0.0
ENSMUSG00000065947	0.0
ENSMUSG00000068457	5.405
ENSMUSG00000068917	0.0
ENSMUSG00000068921	454.771
ENSMUSG00000068922	51.985
ENSMUSG00000068923	34.79
ENSMUSG00000069044	0.0
ENSMUSG00000069045	0.0
ENSMUSG00000069049	0.0
ENSMUSG00000069053	1.855
ENSMUSG00000074479	35.373
ENSMUSG00000074480	3.761
ENSMUSG00000074483	0.0
ENSMUSG00000074486	0.0
ENSMUSG00000074489	21.799
ENSMUSG00000075874	0.0
ENSMUSG00000076127	0.0
ENSMUSG00000076364	124.27
ENSMUSG00000077148	0.0
ENSMUSG00000077462	0.0
ENSMUSG00000077793	0.0
ENSMUSG00000077804	0.0
ENSMUSG00000078684	36.087
ENSMUSG00000078691	0.0
ENSMUSG00000079534	0.0
ENSMUSG00000079536	0.0
ENSMUSG00000079554	0.0
ENSMUSG00000080538	0.0
ENSMUSG00000080829	0.0
ENSMUSG00000081118	16.053
ENSMUSG00000081375	0.0
ENSMUSG00000082447	0.0
ENSMUSG00000082707	0.0
ENSMUSG00000082951	3.904
ENSMUSG00000083283	0.0
ENSMUSG00000083335	0.0
ENSMUSG00000083768	0.0
ENSMUSG00000084131	0.0
ENSMUSG00000084271	0.0
ENSMUSG00000084433	586.464
ENSMUSG00000084728	0.0
ENSMUSG00000085008	0.0
ENSMUSG00000085054	1.038
ENSMUSG00000085066	0.0
ENSMUSG00000085669	0.0
ENSMUSG00000085929	0.0
ENSMUSG00000086669	8.853
ENSMUSG00000086718	0.0
ENSMUSG00000087364	0.0
ENSMUSG00000088823	0.0
ENSMUSG00000089275	216.166
ENSMUSG00000089822	0.849
ENSMUSG00000091192	61.853
ENSMUSG00000091749	0.0
ENSMUSG00000091881	46.946
ENSMUSG00000092876	0.0
ENSMUSG00000092907	0.0
ENSMUSG00000092988	0.0
ENSMUSG00000093390	0.0
ENSMUSG00000094245	110.069
ENSMUSG00000095712	110.069
ENSMUSG00000096792	2.964
ENSMUSG00000097156	3.354
ENSMUSG00000097280	0.404
ENSMUSG00000097428	0.0
ENSMUSG00000098655	0.0
ENSMUSG00000098812	22.727
ENSMUSG00000098912	45.032
ENSMUSG00000099226	0.0
ENSMUSG00000099490	0.0
ENSMUSG00000099719	0.0
ENSMUSG00000099809	0.0
ENSMUSG00000099876	0.0
ENSMUSG00000100202	0.0
ENSMUSG00000100236	0.0
ENSMUSG00000100842	0.0
ENSMUSG00000100968	0.0
ENSMUSG00000101036	0.0
ENSMUSG00000101046	0.0
ENSMUSG00000101059	0.0
ENSMUSG00000101107	10.674
ENSMUSG00000101666	0.0
ENSMUSG00000102059	33.778
ENSMUSG00000102719	2.188
ENSMUSG00000103115	11.112
ENSMUSG00000103304	218.001
ENSMUSG00000103574	99.868
ENSMUSG00000103766	45.311
ENSMUSG00000103839	10.052
ENSMUSG00000104333	0.0
ENSMUSG00000104445	22.436
ENSMUSG00000105204	0.0
ENSMUSG00000105288	0.0
ENSMUSG00000105448	146.99
ENSMUSG00000105512	9.803
ENSMUSG00000105654	0.0
ENSMUSG00000106218	4.929
ENSMUSG00000106409	0.0
ENSMUSG00000106493	0.0
ENSMUSG00000106568	35.987
ENSMUSG00000106618	0.0
ENSMUSG00000109946	5.83
