#gene_id	isoform_psi_value
ENSMUSG00000054770	ENSMUST00000164963:0,ENSMUST00000114410:0,ENSMUST00000161608:0,ENSMUST00000163061:0,ENSMUST00000159826:0,ENSMUST00000160614:0,ENSMUST00000163006:0,ENSMUST00000068000:0,ENSMUST00000189298:0,ENSMUST00000162410:0,ENSMUST00000160130:0
ENSMUSG00000026039	ENSMUST00000027202:0,ENSMUST00000190746:0
ENSMUSG00000063558	ENSMUST00000001027:0.8401811559144685,ENSMUST00000160168:0.1598188440855314
ENSMUSG00000064294	ENSMUST00000161549:0.2667970664534539,ENSMUST00000040999:0.5417256479269114,ENSMUST00000159014:0.03448890781719327,ENSMUST00000162011:0.01213867331419789,ENSMUST00000160815:0.14484970448824355
ENSMUSG00000089275	ENSMUST00000158650:1.0
ENSMUSG00000038242	ENSMUST00000040442:0,ENSMUST00000161833:0,ENSMUST00000159240:0,ENSMUST00000189059:0,ENSMUST00000161926:0
ENSMUSG00000089822	ENSMUST00000161126:1.0
ENSMUSG00000079554	ENSMUST00000114366:0
ENSMUSG00000103839	ENSMUST00000194925:1.0
ENSMUSG00000051223	ENSMUST00000050552:0.8776785959222995,ENSMUST00000188898:0.0,ENSMUST00000188630:1.34185255980385e-10,ENSMUST00000186949:0.12232140394351515
ENSMUSG00000026034	ENSMUST00000156931:0.009329198353625535,ENSMUST00000139787:0.11477155587846649,ENSMUST00000141570:0.08565455257436315,ENSMUST00000123580:0.09477941344165036,ENSMUST00000034868:0.0,ENSMUST00000148330:0.028765145664771515,ENSMUST00000151338:0.08731105389550997,ENSMUST00000129303:0.042702853208911186,ENSMUST00000186552:0.06176440870788342,ENSMUST00000135380:0.0,ENSMUST00000129577:0.20443777430527602,ENSMUST00000131051:0.050595476306017344,ENSMUST00000147258:0.2198885676635249
ENSMUSG00000026035	ENSMUST00000117069:0.1034242424753354,ENSMUST00000114348:0.1340613531578496,ENSMUST00000081677:0.06677353868614927,ENSMUST00000186242:0.4950988007415826,ENSMUST00000114345:0.05761632484060688,ENSMUST00000190048:0.0,ENSMUST00000185990:0.0,ENSMUST00000124550:0.0987303035579099,ENSMUST00000188896:0.044295436540566405
