#chrom	strand	txStart	txEnd	exonCount	exonStarts	exonEnds	transcriptID	geneID	geneSymbol	biotype
chr1	-	11946	26929	4	11946,15988,24342,26866	13665,16090,24568,26929	ENSMUST00000164963	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12093	26973	7	12093,15988,18746,19913,22174,24342,26866	13665,16090,18840,20106,22385,24568,26973	ENSMUST00000114410	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12098	26369	7	12098,15988,18746,19913,22196,24342,26252	13665,16090,18840,20106,22385,24568,26369	ENSMUST00000161608	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12917	75801	10	12917,15988,18746,19913,22196,24342,59712,69837,70444,72471	13665,16090,18840,20106,22385,24568,59766,69839,70512,75801	ENSMUST00000163061	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13425	26893	4	13425,15988,24342,26866	13665,16090,24568,26893	ENSMUST00000159826	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13537	20292	4	13537,15988,18746,19913	13665,16090,18840,20292	ENSMUST00000160614	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13565	18947	3	13565,15988,18746	13665,16090,18947	ENSMUST00000163006	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	16899	26897	5	16899,19913,22174,24342,26866	18840,20106,22385,24568,26897	ENSMUST00000068000	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	18003	19826	1	18003	19826	ENSMUST00000189298	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	20411	26924	3	20411,24342,26866	22385,24568,26924	ENSMUST00000162410	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	20447	26924	2	20447,26866	24568,26924	ENSMUST00000160130	ENSMUSG00000054770	Kctd18	protein_coding
chr1	+	52816	82744	9	52816,54941,56809,58063,59739,70352,72204,76434,81629	53157,55066,56984,58140,59824,70587,74828,76587,82744	ENSMUST00000027202	ENSMUSG00000026039	Sgo2a	protein_coding
chr1	+	79561	82743	1	79561	82743	ENSMUST00000190746	ENSMUSG00000026039	Sgo2a	protein_coding
chr1	+	86776	163258	35	86776,98281,100387,103980,106208,110509,111493,113059,114259,114977,115880,116224,118041,118977,120217,122119,125115,125577,126886,130023,132909,134288,135271,138348,138857,142279,149339,151266,152000,153805,154711,159430,161164,161810,162873	86903,98338,100483,104088,106334,110570,111582,113139,114403,115069,116031,116317,118150,119161,120379,122211,125284,125691,127008,130119,133033,134421,135358,138434,139048,142506,149434,151394,152074,153857,154825,159495,161352,161977,163258	ENSMUST00000001027	ENSMUSG00000063558	Aox1	protein_coding
chr1	+	86809	127724	15	86809,98281,100387,103980,106208,110509,111493,113059,114259,114977,120217,122119,125115,125577,126886	86903,98338,100483,104088,106334,110570,111582,113139,114403,119161,120379,122211,125284,125691,127724	ENSMUST00000160168	ENSMUSG00000063558	Aox1	protein_coding
chr1	+	169975	171854	2	169975,171716	170157,171854	ENSMUST00000161549	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	169981	257549	35	169981,171716,175443,176326,177823,181863,184472,195061,198198,199517,203271,204041,207142,209401,209868,210327,215048,215752,216484,220198,222686,224452,226627,227506,228591,228970,233325,234370,236168,237457,240317,243128,245186,251477,257021	170157,171773,175539,176434,177949,181924,184552,195143,198342,199609,203422,204134,207251,209585,210030,210419,215217,215866,216608,220294,222810,224585,226714,227592,228782,229199,233420,234498,236242,237509,240431,243193,245374,251644,257549	ENSMUST00000040999	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	169983	178950	5	169983,171716,175443,176326,177823	170157,171773,175898,176434,178950	ENSMUST00000159014	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	170031	195969	8	170031,171716,175443,176326,177823,181863,184472,195061	170157,171773,175539,176434,177949,181924,184552,195969	ENSMUST00000162011	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	226473	229098	4	226473,227506,228591,228970	226714,227592,228782,229098	ENSMUST00000160815	ENSMUSG00000064294	Aox3	protein_coding
chr1	-	211828	211935	1	211828	211935	ENSMUST00000158650	ENSMUSG00000089275	Gm24548	snoRNA
chr1	+	267256	325456	35	267256,269881,274292,276846,278687,281025,284931,285713,287964,288340,290697,291978,293526,295976,297540,301919,302660,303098,304065,305707,306994,308924,310385,310768,310999,312334,314074,315901,319424,320202,320693,321201,321818,323487,324619	267487,269938,274388,276954,278813,281086,285014,285793,288108,288432,290848,292071,293638,296160,297702,302011,302829,303212,304187,305803,307118,309057,310472,310854,311190,312561,314169,316029,319498,320254,320807,321266,322003,323654,325456	ENSMUST00000040442	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	267291	317241	29	267291,269881,274292,276846,278687,281025,284931,285713,287964,288340,290697,291978,293526,295976,297540,301919,302660,303098,304065,305707,306994,308924,310385,310768,310999,312334,314074,315901,316777	267487,269938,274388,276954,278813,281086,285014,285793,288108,288432,290848,292071,293638,296160,297702,302011,302829,303212,304187,305803,307118,309057,310472,310854,311190,312561,314169,316029,317241	ENSMUST00000161833	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	267310	272269	3	267310,269881,271463	267487,269938,272269	ENSMUST00000159240	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	268077	270221	1	268077	270221	ENSMUST00000189059	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	297465	302020	2	297465,301919	297702,302020	ENSMUST00000161926	ENSMUSG00000038242	Aox4	protein_coding
chr1	-	310976	372515	6	310976,319327,332983,346268,355689,372093	313804,319475,333071,346361,355827,372515	ENSMUST00000161126	ENSMUSG00000089822	Gm15759	antisense
