#gene_id	transcript_id	chr	strand	transcript_intron_reads_FPK	intron_reads_FPK
ENSMUSG00000000889	ENSMUST00000000910	chr2	+	0.06546216286986122	0,0,0,0,0,0.49800796812749004,0,0,0,0,0,0,0
ENSMUSG00000000889	ENSMUST00000155290	chr2	+	0.0	0,0,0
ENSMUSG00000001415	ENSMUST00000001451	chr3	+	13.33472781467343	0,0.7661367554108408,6.198347107438017,31.746031746031743,1.9550342130987293,13.10483870967742,6.103763987792472,4.623513870541612,18.51851851851852,12.259194395796849,12.711864406779663,41.666666666666664,0,35.27815468113975,48.275862068965516,14.942528735632184,23.1990231990232,25.477707006369428,44.3213296398892,27.45664739884393,115.38461538461539,37.87878787878788,0
ENSMUSG00000001415	ENSMUST00000192009	chr3	+	7.856020568490216	0,31.746031746031743,1.9550342130987293,13.10483870967742,6.103763987792472,4.623513870541612,18.51851851851852,12.259194395796849,12.711864406779663,0
ENSMUSG00000001415	ENSMUST00000192057	chr3	+	5.291828793774319	0,0.7661367554108408,6.198347107438017,31.746031746031743,1.9550342130987293,13.10483870967742,6.103763987792472,4.623513870541612,18.51851851851852,12.259194395796849,12.711864406779663,41.666666666666664,0
ENSMUSG00000001415	ENSMUST00000192377	chr3	+	35.55555555555556	0,25.477707006369428,44.3213296398892,0
ENSMUSG00000001415	ENSMUST00000193007	chr3	+	6.358480838632067	0,1.001001001001001,6.198347107438017,31.746031746031743,1.9550342130987293,13.10483870967742,6.103763987792472,0
ENSMUSG00000001415	ENSMUST00000193097	chr3	+	41.00227790432802	0,35.27815468113975,48.275862068965516,0
ENSMUSG00000001415	ENSMUST00000193224	chr3	+	38.67403314917127	0,0,25.477707006369428,44.3213296398892,27.45664739884393,115.38461538461539,37.87878787878788,0
ENSMUSG00000001415	ENSMUST00000194359	chr3	+	37.87878787878788	0,37.87878787878788,0
ENSMUSG00000001415	ENSMUST00000194942	chr3	+	2.823920265780731	0,0.7661367554108408,6.198347107438017,0,31.746031746031743,0
ENSMUSG00000001416	ENSMUST00000001452	chr3	+	20.23848594245706	0,7.614213197969543,0,0,13.513513513513514,5.58659217877095,5.955334987593052,18.494623655913976,1.5772870662460567,546.9613259668508,9.649568308786186,38.7997930677703,173.01038062283735,0,1.3333333333333333
ENSMUSG00000001416	ENSMUST00000163735	chr3	+	18.51734816406497	0,5.58659217877095,5.955334987593052,12.524352908433064,546.9613259668508,9.649568308786186,38.7997930677703,1.3333333333333333
ENSMUSG00000001416	ENSMUST00000164122	chr3	+	0	0,0,1.3333333333333333
ENSMUSG00000001416	ENSMUST00000164166	chr3	+	20.23848594245706	0,7.614213197969543,13.513513513513514,5.58659217877095,5.955334987593052,18.494623655913976,1.5772870662460567,546.9613259668508,9.649568308786186,38.7997930677703,173.01038062283735,0,1.3333333333333333
ENSMUSG00000001416	ENSMUST00000164783	chr3	+	17.076390034647748	0,7.614213197969543,0,13.513513513513514,5.58659217877095,5.955334987593052,18.494623655913976,1.5772870662460567,546.9613259668508,1.3333333333333333
ENSMUSG00000001416	ENSMUST00000167000	chr3	+	20.23848594245706	0,7.614213197969543,13.513513513513514,5.58659217877095,5.955334987593052,18.494623655913976,1.5772870662460567,546.9613259668508,9.649568308786186,38.7997930677703,173.01038062283735,0,1.3333333333333333
ENSMUSG00000001416	ENSMUST00000167718	chr3	+	20.23848594245706	0,7.614213197969543,0,13.513513513513514,5.58659217877095,5.955334987593052,18.494623655913976,1.5772870662460567,546.9613259668508,9.649568308786186,38.7997930677703,173.01038062283735,1.3333333333333333
ENSMUSG00000001416	ENSMUST00000168062	chr3	+	20.23848594245706	0,7.614213197969543,0,0,13.513513513513514,5.58659217877095,5.955334987593052,18.494623655913976,1.5772870662460567,546.9613259668508,9.649568308786186,38.7997930677703,173.01038062283735,1.3333333333333333
ENSMUSG00000001416	ENSMUST00000168971	chr3	+	0	0,0,0,1.3333333333333333
ENSMUSG00000001416	ENSMUST00000193666	chr3	+	0	0,1.3333333333333333
ENSMUSG00000001418	ENSMUST00000001454	chr3	+	0	0.6666666666666666,0,0,0,0,0
ENSMUSG00000001418	ENSMUST00000131666	chr3	+	0	0.6666666666666666,0,0,0,0
ENSMUSG00000001418	ENSMUST00000140039	chr3	+	0	0.6666666666666666,0,0,0,0
ENSMUSG00000001418	ENSMUST00000152801	chr3	+	0	0.6666666666666666,0,0
ENSMUSG00000001418	ENSMUST00000153716	chr3	+	0	0.6666666666666666,0,0,0
ENSMUSG00000001418	ENSMUST00000154381	chr3	+	0	0.6666666666666666,0,0
ENSMUSG00000001418	ENSMUST00000176425	chr3	+	0	0.6666666666666666,0,0,0,0,0
ENSMUSG00000001418	ENSMUST00000176519	chr3	+	0	0.6666666666666666,0,0,0
ENSMUSG00000001418	ENSMUST00000177005	chr3	+	0	0.6666666666666666,0,0,0,0,0,0
ENSMUSG00000001418	ENSMUST00000193646	chr3	+	0	0.6666666666666666,0
ENSMUSG00000001420	ENSMUST00000001456	chr3	-	1.124859392575928	0,0.7977662544874351,6.25,0,0.21968365553602812
ENSMUSG00000001420	ENSMUST00000107552	chr3	-	1.124859392575928	0,0.7977662544874351,6.25,0,0.21968365553602812
ENSMUSG00000001420	ENSMUST00000107553	chr3	-	1.124859392575928	0,0.7977662544874351,6.25,0,0.21968365553602812
ENSMUSG00000001420	ENSMUST00000193872	chr3	-	25.37182852143482	0,25.37182852143482,0.21968365553602812
